State,Agency Type,Agency Name,Population,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society
State,Agency Type,Agency Name,Population,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,"Sex Offenses, Nonforcible",Incest,Statutory Rape,Arson,Bribery,Burglary Breaking & Entering,Counter- feiting Forgery,Destruction Damage Vandalism,Embezzle- ment,Extortion Blackmail,Fraud Offenses,False Pretenses Swindle Confidence Game,Credit Card Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug Narcotic Offenses,Drug Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting Wagering,Operating Promoting Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
ARKANSAS,Cities,Decatur,1752,19,4,6,9,,,,,1,5,,1,,4,,,,1,,19,,9,,,4,,,4,,,22,,1,,7,,3,1,10,3,,2,2,1,1,,,,,,,,,,
ARKANSAS,Cities,De Queen,6708,62,16,41,5,,,,,4,6,3,,,3,,,,1,,56,16,19,,,12,,12,,,,171,1,4,27,20,2,9,,108,2,1,7,59,34,25,,,,,,,,,,2
ARKANSAS,Cities,De Witt,3282,74,14,49,11,,,,,2,3,3,,,,,,,1,,32,9,37,,,6,2,4,,,,89,,,6,19,1,20,1,42,1,2,5,54,38,16,,,,,,,,,,10
ARKANSAS,Cities,Diaz,1313,22,3,16,3,,,,,,,,,,,,,,,,11,,5,,,,,,,,,13,1,,,5,,1,1,5,3,,1,2,2,,,,,,,,,,,
ARKANSAS,Cities,Dumas,4635,53,16,32,5,,,,,,3,3,,,,,,,1,,61,9,1,,,1,,1,,,,56,,,10,22,,12,1,11,9,5,1,12,11,1,,,,,,,,,,9
ARKANSAS,Cities,Earle,2405,57,10,18,29,,,,,,,,,,,,,,5,,41,1,37,,,3,1,,2,,,78,,,3,1,,1,,73,2,1,1,2,1,1,1,1,,,,,,,,1
ARKANSAS,Cities,El Dorado,18860,559,165,241,153,2,1,1,,3,10,2,,7,1,1,,1,7,,429,90,327,1,,69,36,32,1,,,691,,,78,1,,19,,593,35,29,,83,73,10,,,,,,,,,,13
ARKANSAS,Cities,Elkins,2718,14,2,8,4,,,,,1,1,,,,1,,,,,,4,2,3,,,,,,,,,13,,,3,5,,,,5,1,,,12,10,2,,,,,,,,,,
ARKANSAS,Cities,Eudora,2261,36,,7,29,,,,,,1,1,,,,,,,1,,1,,10,,,,,,,,,20,,,,2,,2,,16,,1,,,,,,,,,,,,,,
ARKANSAS,Cities,Eureka Springs,2082,49,1,35,13,,,,,,2,2,,,,,,,,,20,1,27,,,7,,7,,,,77,1,,5,8,,5,1,57,2,,,23,14,9,,,,,,,,,,
ARKANSAS,Cities,Fairfield Bay,2319,23,5,10,8,,,,,,,,,,,,,,1,,17,2,2,,,3,,1,2,,,34,,,,15,,4,4,11,,,3,3,3,,,,,,,,,,,
ARKANSAS,Cities,Farmington,6133,104,28,46,30,,,,,2,9,2,2,,5,,,,,,29,8,29,,,1,,1,,,,80,,,,29,,28,2,21,1,,1,26,20,6,,,,,,1,,,,3
ARKANSAS,Cities,Fayetteville,75387,1631,289,1007,335,2,1,,1,32,71,59,,1,11,1,,1,7,,515,156,998,,2,303,102,161,40,,,2455,1,1,428,816,2,622,95,490,128,40,76,783,476,307,,,,,,22,6,4,2,40
ARKANSAS,Cities,Flippin,1354,33,3,17,13,,,,,,4,2,,,2,,,,,,20,1,18,,,1,,1,,,,61,,,14,14,,9,2,22,,1,1,113,97,16,,,,,,6,,,,1
ARKANSAS,Cities,Fordyce,4295,121,26,68,27,2,2,,,1,7,4,1,,2,,,,1,,69,11,21,,,6,1,5,,,,139,,,17,15,,14,1,92,7,7,2,13,12,1,,,,,,,,,,3
ARKANSAS,Cities,Forrest City,15295,677,74,387,216,4,4,,,3,17,6,,,11,2,,2,6,,355,61,458,2,,15,5,6,4,,,839,2,1,145,279,1,221,11,179,32,38,7,96,91,5,2,,1,,1,,,,,11
ARKANSAS,Cities,Fort Smith,87483,2577,522,999,1056,5,5,,,31,144,70,10,,64,4,2,2,10,,1077,215,1309,,,495,272,174,47,2,,3640,4,,627,504,13,635,51,1806,196,95,29,1299,924,375,4,,1,3,,10,34,33,1,102
ARKANSAS,Cities,Gassville,2087,9,1,7,1,,,,,,2,2,,,,,,,,,5,2,2,,,,,,,,,27,,,3,8,,2,,14,1,,1,13,11,2,,,,,,,,,,1
ARKANSAS,Cities,Gentry,3260,32,4,13,15,,,,,,2,1,1,,,,,,,,8,1,2,,,5,,1,4,,,25,,,,3,,,2,20,3,,1,5,4,1,,,,,,,,,,
ARKANSAS,Cities,Glenwood,2228,24,1,15,8,,,,,,2,,,1,1,,,,,,21,6,9,,,7,,2,5,,,48,,,4,12,1,13,5,13,,,11,30,18,12,,,,,,,,,,1
ARKANSAS,Cities,Gravette,2400,35,6,19,10,,,,,,3,,1,,2,,,,,,6,11,15,,,1,,1,,,,42,,,3,5,1,4,,29,7,,2,32,20,12,,,,,,,,,,1
ARKANSAS,Cities,Green Forest,2779,57,15,26,16,,,,,,9,7,,,2,,,,,,34,10,36,,,3,,3,,,,78,,1,11,17,,12,4,33,2,2,,33,27,6,,,,,,,,,,4
ARKANSAS,Cities,Greenland,1292,21,5,13,3,,,,,,2,,2,,,,,,,,9,,8,,,5,5,,,,,18,,,,3,,2,,13,2,,,16,9,7,,,,,,,,,,1
ARKANSAS,Cities,Greenwood,9086,89,19,40,30,,,,,,1,,,,1,1,1,,,,38,10,9,,,5,2,,3,,,59,,,1,6,,9,3,40,1,,3,42,29,13,,,,,,,,,,5
ARKANSAS,Cities,Greers Ferry,892,11,1,5,5,,,,,,,,,,,,,,,,8,,14,,,1,,1,,,,25,,,,11,,5,2,7,,,1,7,4,3,,,,,,,,,,1
ARKANSAS,Cities,Gurdon,2205,54,13,27,14,,,,,,1,1,,,,,,,,,17,10,18,,,1,,1,,,,25,,,4,6,,7,,8,3,,1,3,3,,,,,,,,,,,2
ARKANSAS,Cities,Guy,732,6,3,2,1,,,,,,,,,,,,,,,,8,2,1,,,,,,,,,13,,,,1,,,,12,2,,1,5,5,,,,,,,,,,,1
ARKANSAS,Cities,Hamburg,2883,48,14,31,3,1,1,,,,,,,,,,,,1,,16,,12,,,6,,4,2,,,37,,,4,,,,,33,,1,,7,7,,,,,,,,,,,4
ARKANSAS,Cities,Hampton,1273,20,6,12,2,1,1,,,1,2,1,,,1,,,,,,5,2,11,,,1,,1,,,,20,,,,1,,2,1,16,2,,1,8,7,1,,,,,,,,,,2
ARKANSAS,Cities,Hardy,780,12,2,10,,,,,,,3,2,1,,,,,,,,15,,7,,,2,,,2,,,40,,2,,2,,2,,34,3,1,2,7,6,1,,,,,,,,,,
ARKANSAS,Cities,Harrisburg,2292,49,7,33,9,,,,,2,1,1,,,,,,,1,,45,11,37,,,1,1,,,,,82,,,12,6,,14,,50,3,1,5,15,12,3,,,,,,,,,,
ARKANSAS,Cities,Harrison,13043,300,47,182,71,2,1,1,,5,17,11,1,,5,,,,6,,159,49,175,,,89,58,30,1,,,608,,5,139,51,,41,5,367,29,1,29,278,152,126,1,1,,,,6,1,1,,32
ARKANSAS,Cities,Heber Springs,7173,196,12,110,74,,,,,,7,7,,,,,,,,,104,31,93,,,16,3,11,2,,,176,,,20,28,1,29,6,92,11,,41,67,44,23,,,,,,1,,,,3
ARKANSAS,Cities,Helena-West Helena,12152,627,130,354,143,1,1,,,7,11,8,1,1,1,1,1,,11,,475,23,433,,,39,2,19,18,,,542,4,10,123,80,1,30,7,287,31,26,70,163,149,14,,,,,,1,,,,61
ARKANSAS,Cities,Highland,1056,13,4,8,1,,,,,,,,,,,,,,1,,10,2,2,,,,,,,,,12,,,5,3,,,1,3,,,2,15,15,,,,,,,,,,,1
ARKANSAS,Cities,Hope,10103,384,72,261,51,1,1,,,,25,11,1,,13,1,,1,4,,229,58,172,,,28,9,14,,5,,426,3,7,79,28,1,59,17,232,26,13,3,38,36,2,,,,,,,,,,6
ARKANSAS,Cities,Horseshoe Bend,2146,15,2,3,10,,,,,,1,1,,,,,,,,,16,2,7,,,,,,,,,30,,1,2,7,,3,,17,1,,,10,9,1,,,,,,,,,,1
ARKANSAS,Cities,Hot Springs,35722,601,90,447,64,11,9,2,,1,20,10,,1,9,4,,4,2,,618,112,551,6,,142,53,63,17,1,8,2336,,5,533,17,1,432,33,1315,115,55,,190,131,59,,,,,,,18,18,,37
ARKANSAS,Cities,Jacksonville,28733,1201,193,612,396,2,2,,,2,34,23,3,,8,1,,1,4,,346,89,735,11,1,140,68,60,12,,,1276,,1,392,368,8,194,67,246,72,34,55,564,358,206,,,,,,1,,,,57
ARKANSAS,Cities,Jonesboro,68807,1334,192,455,687,4,4,,,15,47,21,2,3,21,1,1,,12,,1174,222,923,,,305,74,223,7,,1,2899,9,9,501,568,4,406,21,1381,114,79,123,876,656,220,,,,,,7,,,,54
ARKANSAS,Cities,Kensett,1678,34,4,21,9,,,,,,2,1,,,1,,,,,,9,,19,,,3,,3,,,,26,,,1,6,,1,1,17,4,,,7,5,2,,,,,,,,,,1
ARKANSAS,Cities,Lakeview,745,4,2,1,1,,,,,1,,,,,,,,,,,,,4,,,3,1,1,1,,,5,,,1,2,,,,2,,,,5,3,2,,,,,,,,,,1
ARKANSAS,Cities,Lake Village,2567,110,52,25,33,,,,,1,1,1,,,,,,,1,,38,2,42,,,12,3,9,,,,93,1,,9,13,,12,,58,2,7,9,23,21,2,,,,,,,,,,11
ARKANSAS,Cities,Lepanto,1895,27,6,21,,,,,,1,3,2,,,1,,,,1,,24,,12,,,5,1,2,2,,,54,,,7,3,1,7,2,34,1,,6,15,10,5,,,,,,,,,,
ARKANSAS,Cities,Lewisville,1272,6,2,1,3,,,,,,1,,1,,,,,,,,10,1,5,,,1,,1,,,,23,,,1,,1,1,,20,,,,6,4,2,,,,,,,,,,1
ARKANSAS,Cities,Lincoln,2308,20,,17,3,,,,,1,,,,,,,,,,,18,2,7,,,1,,1,,,,30,,,1,8,,3,3,15,,,,7,5,2,,,,,,,,,,
ARKANSAS,Cities,Little Flock,2667,29,4,5,20,,,,,,3,1,1,,1,,,,,,4,1,8,,,4,2,2,,,,21,,,,8,,2,,11,3,,2,7,4,3,,,,,,,6,6,,2
ARKANSAS,Cities,Little Rock,196055,10888,1632,6175,3081,45,45,,,53,149,140,9,,,,,,87,,4226,411,1213,1,,877,28,644,197,,8,10556,,4,1980,54,2,2935,164,5417,1133,814,169,1051,629,422,3,,1,2,,3,219,171,48,240
ARKANSAS,Cities,Lonoke,4319,133,16,76,41,,,,,1,1,,,,1,,,,2,,40,19,55,,,10,1,9,,,,176,,,1,15,,9,1,150,3,2,4,54,35,19,,,,,,1,,,,7
ARKANSAS,Cities,Lowell,7565,62,10,28,24,,,,,3,2,,,,2,,,,1,,55,5,59,,,8,2,6,,,,176,,1,5,33,,24,6,107,13,1,1,45,26,19,,,,,,1,,,,6
ARKANSAS,Cities,Luxora,1169,7,2,2,3,,,,,,,,,,,,,,,,2,,7,,,,,,,,,4,,,,,,,,4,,,,,,,,,,,,,,,,
ARKANSAS,Cities,Magnolia,11554,118,20,94,4,,,,,1,3,3,,,,1,,1,1,,157,34,49,1,,31,17,6,8,,,245,2,,36,45,3,34,5,120,24,4,2,47,40,7,,,,,,1,,,,5
ARKANSAS,Cities,Marianna,4084,63,1,60,2,,,,,,,,,,,,,,2,,69,2,4,,,1,,1,,,,112,,1,13,7,,4,1,86,9,6,,4,4,,,,,,,,,,,3
ARKANSAS,Cities,Marion,12300,406,48,192,166,,,,,7,9,5,1,,3,1,1,,5,,178,9,154,,,39,24,12,3,,,388,,1,23,36,1,59,4,264,23,10,8,66,48,18,,,,,,3,,,,17
ARKANSAS,Cities,Marmaduke,1132,30,13,10,7,,,,,,2,1,,,1,,,,,,21,4,10,,,,,,,,,49,,,4,14,,6,2,23,1,,,17,14,3,,,,,,,1,1,,
ARKANSAS,Cities,Maumelle,17391,178,21,98,59,1,1,,,1,3,1,1,1,,,,,3,,52,15,81,,,29,8,17,4,,,318,1,1,25,6,,129,23,133,8,5,14,229,138,91,1,,1,,,,,,,8
ARKANSAS,Cities,Mayflower,2307,29,2,13,14,,,,,,2,1,,,1,,,,,,24,2,6,,,10,,7,3,,,56,1,,7,19,,5,,24,6,1,3,48,29,19,,,,,,,,,,4
ARKANSAS,Cities,McGehee,4157,130,22,66,42,,,,,5,4,3,,,1,,,,2,,47,7,75,,,19,2,16,1,,,135,,3,14,80,,6,5,27,5,3,2,14,10,4,,,,,,,,,,6
ARKANSAS,Cities,McRae,696,20,1,8,11,,,,,,2,,,,2,,,,,,13,,8,,,1,,,1,,,27,,,1,7,,10,2,7,,,,,,,,,,,,,,,,
ARKANSAS,Cities,Mena,5745,147,9,77,61,1,1,,,4,8,5,1,,2,,,,2,,109,29,51,,,8,1,4,3,,,313,,,40,77,2,40,4,150,10,2,13,33,20,13,,,,,,1,,,,4
ARKANSAS,Cities,Mineral Springs,1221,13,2,9,2,,,,,,,,,,,,,,,,10,,7,,,1,,1,,,,8,,,,1,,,1,6,1,,,5,5,,,,,,,,,,,2
ARKANSAS,Cities,Monticello,9482,162,31,101,30,,,,,4,4,3,1,,,,,,,,111,24,122,,,34,4,11,19,,,335,3,2,82,22,,45,5,176,7,4,1,69,62,7,,,,,,,,,,21
ARKANSAS,Cities,Morrilton,6792,239,17,113,109,,,,,3,8,2,,,6,,,,,,36,11,97,,,28,1,13,14,,,298,2,1,55,79,1,36,8,116,6,,8,193,148,45,,,,,,1,,,,14
