State,Agency Type,Agency Name,Population,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society
State,Agency Type,Agency Name,Population,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,"Sex Offenses, Nonforcible",Incest,Statutory Rape,Arson,Bribery,Burglary Breaking & Entering,Counter- feiting Forgery,Destruction Damage Vandalism,Embezzle- ment,Extortion Blackmail,Fraud Offenses,False Pretenses Swindle Confidence Game,Credit Card Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug Narcotic Offenses,Drug Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting Wagering,Operating Promoting Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
OHIO,Nonmetropolitan Counties,Adams,,264,10,68,186,,,,,,9,2,2,,5,2,2,,1,,195,1,104,,,26,,4,8,14,,262,1,2,3,87,,30,4,135,14,1,4,81,57,24,,,,,,1,,,,7
OHIO,Nonmetropolitan Counties,Ashland,,114,6,50,58,,,,,3,15,6,,,9,3,3,,1,,172,6,204,,,13,3,2,8,,,348,,,2,35,2,88,9,212,12,,2,83,47,36,,,,,,4,,,,6
OHIO,Nonmetropolitan Counties,Ashtabula,,637,43,282,312,2,2,,,1,19,10,,,9,8,3,5,4,,369,26,213,,,70,21,29,20,,,1022,4,7,239,180,1,174,12,405,68,10,59,215,122,93,,,,,,2,,,,24
OHIO,Nonmetropolitan Counties,Athens,,224,8,38,178,,,,,1,12,5,1,,6,5,,5,2,,207,6,129,,,9,3,1,5,,,469,2,5,19,152,,64,14,213,18,6,12,131,100,31,,,,,,1,,,,4
OHIO,Nonmetropolitan Counties,Auglaize,,130,3,58,69,,,,,,2,1,,,1,,,,,,47,4,44,,,20,2,2,15,,1,90,,,2,8,1,24,9,46,7,,1,11,9,2,,,,,,,,,,5
OHIO,Nonmetropolitan Counties,Champaign,,206,13,98,95,,,,,1,8,,,,8,2,2,,4,,139,11,158,,,38,5,18,14,1,,307,,,2,97,3,34,4,167,17,1,4,71,51,20,,,,,,3,1,,1,17
OHIO,Nonmetropolitan Counties,Clinton,,51,6,27,18,,,,,,8,3,,,5,1,,1,,,25,,11,,,10,4,5,,1,,57,,,1,21,,3,,32,3,,3,30,16,14,,,,,,,,,,4
OHIO,Nonmetropolitan Counties,Columbiana,,136,11,62,63,1,1,,,2,1,1,,,,,,,,,61,,9,,,1,,,1,,,15,,,3,2,,1,,9,3,1,1,3,3,,,,,,,,,,,3
OHIO,Nonmetropolitan Counties,Coshocton,,396,14,197,185,,,,,2,19,,2,,17,1,1,,3,,294,12,358,,,28,3,15,7,2,1,718,3,5,47,181,1,123,4,354,13,5,16,26,17,9,,,,,,1,2,1,1,7
OHIO,Nonmetropolitan Counties,Crawford,,88,7,42,39,,,,,,2,1,,,1,1,1,,1,,168,5,39,,2,20,3,7,6,4,,173,,,1,34,,37,,101,11,,8,74,46,28,,,,,,2,,,,8
OHIO,Nonmetropolitan Counties,Darke,,354,8,208,138,,,,,2,16,2,,,14,1,1,,3,,151,8,153,,,2,1,,1,,,350,,,2,116,,58,1,173,20,3,16,94,54,40,,,,,,,1,1,,10
OHIO,Nonmetropolitan Counties,Defiance,,66,1,,65,,,,,,14,6,1,,7,7,7,,1,,40,6,171,,,22,14,3,5,,,146,1,,,22,1,10,3,109,2,,6,124,68,56,,,,,,3,,,,6
OHIO,Nonmetropolitan Counties,Fayette,,350,10,160,180,,,,,1,13,2,1,,10,3,3,,4,,218,12,191,,,23,6,10,7,,,505,2,1,19,98,2,118,10,255,19,11,11,61,37,24,2,,2,,,3,,,,9
OHIO,Nonmetropolitan Counties,Gallia,,304,5,89,210,2,2,,,2,6,3,,,3,3,,3,1,,249,4,170,,,17,2,3,12,,,394,7,4,16,52,,62,8,245,18,8,2,56,38,18,,,,,,,,,,8
OHIO,Nonmetropolitan Counties,Guernsey,,202,,3,199,3,2,1,,,4,1,,,3,2,2,,3,,73,2,44,,,7,,1,5,,1,120,2,3,2,41,,21,5,46,9,3,3,11,8,3,,,,,,,,,,3
OHIO,Nonmetropolitan Counties,Hancock,,63,3,24,36,,,,,,3,1,,,2,3,2,1,,,90,1,157,,,23,2,6,15,,,156,,,3,16,3,26,,108,8,,,10,5,5,,,,,,,,,,2
OHIO,Nonmetropolitan Counties,Hardin,,116,4,13,99,,,,,2,8,,2,,6,2,1,1,2,,132,5,112,,,9,,4,5,,,156,1,,5,54,2,22,6,66,7,,1,123,96,27,,,,,,1,,,,1
OHIO,Nonmetropolitan Counties,Harrison,,61,,1,60,,,,,,4,3,,,1,2,2,,,,39,,13,,,1,1,,,,,47,,,1,14,,14,3,15,10,1,1,32,18,14,,,,,,,,,,3
OHIO,Nonmetropolitan Counties,Holmes,,171,1,125,45,,,,,1,31,2,,,29,5,5,,1,,61,2,145,,,14,1,5,4,,4,211,,,5,32,1,19,2,152,13,2,1,127,98,29,,,,,,1,,,,4
OHIO,Nonmetropolitan Counties,Logan,,189,6,106,77,,,,,1,11,4,2,,5,1,1,,,,230,8,74,,,40,5,16,18,1,,302,1,1,5,10,1,59,3,222,15,,2,63,57,6,,,,,,2,,,,7
OHIO,Nonmetropolitan Counties,Marion,,312,8,109,195,,,,,1,12,6,,,6,1,1,,4,1,329,11,249,,,48,15,21,11,,1,1029,1,9,215,115,6,157,24,502,9,20,24,59,36,23,,,,,,3,,,,7
OHIO,Nonmetropolitan Counties,Meigs,,164,5,29,130,1,1,,,2,7,5,,,2,6,2,4,1,,146,1,67,,,7,4,,3,,,169,1,,1,34,,21,5,107,17,5,6,42,34,8,,,,,,,,,,2
OHIO,Nonmetropolitan Counties,Mercer,,138,5,63,70,1,1,,,,16,3,,,13,6,5,1,,,55,4,55,,,7,,5,2,,,180,,1,2,51,1,23,5,97,4,1,,17,11,6,,,,,,,,,,1
OHIO,Nonmetropolitan Counties,Monroe,,96,2,22,72,,,,,,5,2,,,3,,,,1,,40,2,30,,1,5,2,2,1,,,76,,1,,38,1,7,,29,1,,4,65,36,29,,,,,,,,,,8
OHIO,Nonmetropolitan Counties,Paulding,,87,6,42,39,,,,,,4,2,,,2,1,1,,1,,47,,55,,,6,,6,,,,108,,,,33,,7,2,66,,,2,1,,1,,,,,,,,,,2
OHIO,Nonmetropolitan Counties,Pike,,218,6,103,109,3,3,,,,9,3,2,,4,3,,3,6,,78,4,60,,,7,2,,5,,,270,2,1,3,103,3,30,9,119,18,3,7,19,12,7,,,,,,1,,,,4
OHIO,Nonmetropolitan Counties,Ross,,594,25,161,408,,,,,4,45,14,5,,26,10,6,4,8,,524,10,390,,,38,8,28,2,,,1231,,1,14,349,2,146,67,652,68,9,50,82,42,40,1,,,1,,,3,1,2,10
OHIO,Nonmetropolitan Counties,Scioto,,262,1,23,238,,,,,2,20,4,,,16,3,1,2,16,,307,19,212,,,35,8,10,15,,2,558,6,2,32,82,2,141,31,262,36,7,9,27,16,11,,,,,,2,,,,4
OHIO,Nonmetropolitan Counties,Seneca,,71,,36,35,,,,,1,9,2,1,,6,,,,,,128,1,66,,,8,2,2,4,,,190,,,,6,,36,4,144,3,,4,45,18,27,,,,,,1,,,,3
OHIO,Nonmetropolitan Counties,Tuscarawas,,211,3,13,195,1,1,,,2,8,2,,,6,3,1,2,2,,137,9,43,,,14,,8,6,,,154,1,3,1,51,1,24,8,65,26,1,5,45,24,21,,,,,,,,,,9
OHIO,Nonmetropolitan Counties,Van Wert,,119,1,13,105,,,,,1,1,,,,1,3,,3,1,,68,1,102,,,13,1,2,10,,,123,,,1,40,,11,1,70,4,,,14,9,5,,,,,,,,,,3
OHIO,Nonmetropolitan Counties,Vinton,,69,7,23,39,2,2,,,4,5,3,,,2,,,,1,,134,1,23,,,2,,1,1,,,194,4,2,4,68,,15,3,98,8,2,,17,11,6,,,,,,,,,,3
OHIO,Nonmetropolitan Counties,Washington,,196,17,99,80,,,,,3,18,9,4,,5,1,1,,3,,175,5,77,,,4,2,2,,,,269,1,2,2,46,,39,5,174,16,,3,142,116,26,,,,,,2,,,,13
OHIO,Nonmetropolitan Counties,Wayne,,247,11,199,37,,,,,5,19,9,1,,9,3,1,2,8,,237,2,300,,,44,4,22,18,,,523,,,13,81,3,72,10,344,42,2,18,61,40,21,,,,,,2,,,,6
OHIO,Nonmetropolitan Counties,Wyandot,,32,3,17,12,,,,,1,3,1,2,,,,,,,,9,1,15,,,5,4,,1,,,11,,1,,6,,1,,3,1,1,3,81,43,38,,,,,,1,,,,4
OHIO,State Police Agencies,Ohio State Highway Patrol,,811,250,225,336,5,5,,,7,59,19,27,,13,1,,1,4,,15,124,197,,,67,60,,,7,,275,3,4,6,55,5,80,22,100,64,9,349,4677,3064,1613,,,,,,3,,,,387
OHIO,Other Agencies,Hamilton County Park District,,5,,1,4,,,,,1,1,1,,,,,,,1,,7,3,29,,,3,2,1,,,,36,,1,,5,1,11,,18,2,,1,14,10,4,,,,,,,,,,1
OHIO,Other Agencies,Lorain County Metropolitan Park District,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,,,,1,,,,2,,,1,84,48,36,,,,,,,,,,
OHIO,Other Agencies,Mill Creek MetroPark,,4,,1,3,,,,,1,,,,,,,,,1,,,,29,,,,,,,,,10,,,,1,2,1,,6,,1,1,3,1,2,,,,,,,,,,
OHIO,Other Agencies,Ohio Investigative Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,9,,,,,,2
OHIO,Other Agencies,Port Columbus International Airport,,7,1,1,5,,,,,,,,,,,,,,,,3,,28,,,2,1,1,,,,102,1,2,1,14,,27,1,56,43,,4,33,12,21,,,,,,,1,,1,2
OKLAHOMA,Cities,Achille,502,14,1,8,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,2,2,,,,3,1,,,1,1,,,,,,,,,,,2
OKLAHOMA,Cities,Allen,941,1,,1,,,,,,,3,1,,,2,,,,,,,,,,,1,1,,,,,4,,,,,,1,,3,3,,,1,1,,,,,,,,,,,
OKLAHOMA,Cities,Altus,19936,313,44,208,61,1,1,,,1,20,9,2,,9,,,,3,,207,11,260,26,,106,37,52,15,,2,451,,,84,95,2,134,22,114,24,10,13,101,70,31,,,,,,,,,,12
OKLAHOMA,Cities,Alva,4914,17,3,7,7,,,,,,,,,,,,,,1,,16,5,38,1,,2,,1,,,1,71,1,,4,8,,12,2,44,2,,4,19,17,2,,,,,,,,,,1
OKLAHOMA,Cities,Antlers,2443,52,7,38,7,,,,,,9,3,,2,4,1,,1,3,,38,8,30,1,,7,4,3,,,,59,,1,9,5,,16,4,24,5,,1,10,6,4,,,,,,,,,,1
OKLAHOMA,Cities,Apache,1454,6,,3,3,,,,,,1,,,,1,,,,,,,,2,,,,,,,,,6,,,,2,,1,,3,,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Arkoma,2010,8,2,3,3,,,,,,,,,,,,,,,,5,,3,,,2,,1,1,,,10,,,,1,,2,2,5,3,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Atoka,3133,41,5,36,,1,1,,,,3,1,,,2,1,,1,2,,62,7,35,1,,6,2,2,1,,1,69,,,4,6,,27,2,30,6,,2,28,23,5,,,,,,1,,,,1
OKLAHOMA,Cities,Beaver,1520,7,4,2,1,,,,,,,,,,,,,,,,7,,6,,,2,,2,,,,14,,,1,2,,1,,10,,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Beggs,1325,13,,9,4,,,,,,,,,,,2,,2,1,,8,,8,,,3,,1,1,,1,23,,,5,2,,1,,15,2,1,1,22,12,10,,,,,,,,,,5
OKLAHOMA,Cities,Blackwell,7074,83,10,47,26,,,,,3,15,8,1,,6,1,,1,2,,55,4,48,4,1,9,4,4,1,,,96,,,2,19,,36,5,34,10,1,5,79,56,23,,,,,,,,,,2
OKLAHOMA,Cities,Blanchard,7848,56,6,41,9,,,,,,5,2,,1,2,,,,,,26,6,23,5,,2,,2,,,,63,,,5,11,,16,6,25,7,,2,57,34,23,,,,,,,,,,3
OKLAHOMA,Cities,Boise City,1278,1,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,1,,,,,1,,,,1,1,,,,,,,,,,,
OKLAHOMA,Cities,Boley,1194,11,1,7,3,,,,,,,,,,,,,,,,6,1,,,,,,,,,,6,,,,,,,,6,,,2,6,3,3,,,,,,,,,,
OKLAHOMA,Cities,Caddo,1025,6,1,5,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,8,,,,2,,1,,5,,,,8,7,1,,,,,,,,,,
OKLAHOMA,Cities,Calera,2213,14,,11,3,,,,,,,,,,,,,,,,7,1,,,,,,,,,,15,,,2,,,1,,12,3,,1,13,10,3,,,,,,,,,,
OKLAHOMA,Cities,Caney,206,1,,1,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,6,,,,2,,2,,2,,,1,8,5,3,,,,,,,,,,1
OKLAHOMA,Cities,Carnegie,1725,14,2,10,2,,,,,,2,1,1,,,,,,,,6,,4,,,,,,,,,5,,,,1,,2,,2,,,,8,7,1,,,,,,,,,,
OKLAHOMA,Cities,Carney,648,5,3,1,1,,,,,,,,,,,,,,1,,2,1,2,,,,,,,,,4,,,,1,,,1,2,1,,,3,3,,,,,,,,,,,2
OKLAHOMA,Cities,Chandler,3109,52,5,36,11,,,,,,3,1,,,2,,,,2,,38,6,27,,,4,,3,1,,,74,,,19,2,2,9,1,41,4,,6,39,28,11,,,,,,,,,,4
OKLAHOMA,Cities,Checotah,3373,38,,20,18,,,,,,1,1,,,,,,,,,15,3,25,6,1,18,14,2,2,,,79,4,6,6,22,1,13,4,23,6,,,17,4,13,,,,,,,,,,1
OKLAHOMA,Cities,Chelsea,1994,23,3,14,6,,,,,,,,,,,,,,3,,9,2,9,2,,9,2,7,,,,15,,,2,5,1,1,,6,1,,,28,20,8,,,,,,,,,,2
OKLAHOMA,Cities,Cherokee,1513,9,2,7,,,,,,,2,,,,2,,,,,,6,,3,,,,,,,,,5,,,,3,,,1,1,1,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Choctaw,11434,74,11,48,15,1,1,,,1,6,2,1,,3,,,,1,,62,3,42,,1,20,9,6,4,,1,142,2,,9,16,,46,3,66,15,,5,100,61,39,,,,,,3,1,,1,12
OKLAHOMA,Cities,Chouteau,2125,32,2,22,8,,,,,,5,3,1,,1,,,,3,,8,5,19,2,,4,,1,2,,1,28,,,5,2,,7,2,12,5,,1,22,16,6,,,,,,,,,,
OKLAHOMA,Cities,Clayton,819,18,2,15,1,,,,,,,,,,,,,,,,4,,4,,,,,,,,,6,,,1,,,2,,3,,,,6,5,1,,,,,,,,,,
OKLAHOMA,Cities,Cleveland,3302,34,8,17,9,,,,,,4,,3,,1,2,,2,,,23,5,21,1,,5,,4,1,,,60,,,6,20,,14,2,18,7,3,1,3,3,,,,,,,1,,,,
OKLAHOMA,Cities,Coalgate,1981,14,1,13,,,,,,,1,,,,1,,,,,,8,,1,,,,,,,,,8,,1,,3,,4,,,,,,7,4,3,,,,,,,,,,3
OKLAHOMA,Cities,Colbert,1165,2,1,1,,,,,,,,,,,,,,,,,2,,,,,1,,1,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,
OKLAHOMA,Cities,Comanche,1677,31,4,12,15,,,,,,,,,,,,,,,,21,,12,2,,,,,,,,36,,,4,9,,15,,8,,,2,12,7,5,,,,,,,,,,3
OKLAHOMA,Cities,Cordell,2920,30,3,20,7,,,,,,,,,,,1,,1,,,18,3,12,1,,4,2,2,,,,25,,,4,7,,2,2,10,5,,1,9,5,4,,,,,,,,,,2
OKLAHOMA,Cities,Coweta,9563,81,10,45,26,,,,,1,9,2,,,7,2,,2,,1,17,,41,,,11,3,3,3,,2,89,,,39,1,,7,3,39,9,1,3,100,54,46,,,,,,1,,,,6
OKLAHOMA,Cities,Cushing,7939,59,14,38,7,1,1,,,,9,3,1,3,2,,,,,,34,7,33,6,,4,3,1,,,,166,,1,37,18,,61,3,46,11,,3,43,27,16,,,,,,,,,,4
OKLAHOMA,Cities,Davenport,816,15,3,11,1,,,,,,,,,,,,,,,,4,,2,,,1,,1,,,,3,,,,,,2,,1,1,,1,6,3,3,,,,,,,,,,1
OKLAHOMA,Cities,Dewar,890,1,1,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,4,,,,3,1,,,,,,,2,1,1,,,,,,,,,,
OKLAHOMA,Cities,Dibble,847,3,,2,1,,,,,,2,,,,2,,,,,,1,,1,,,1,,,1,,,3,,,1,1,,,,1,,,1,10,7,3,,,,,,,,,,1
OKLAHOMA,Cities,Drumright,2946,37,5,24,8,,,,,,,,,,,,,,2,,19,3,15,1,,2,2,,,,,33,,,4,1,,4,1,23,6,1,1,33,27,6,,,,,,1,,,,4
OKLAHOMA,Cities,Duncan,23652,631,68,300,263,2,2,,,5,35,13,1,,21,,,,3,,286,21,258,28,,107,61,25,21,,,733,1,,131,243,6,164,16,172,47,17,3,154,106,48,,,,,,1,,,,19
OKLAHOMA,Cities,Elk City,11861,134,20,103,11,,,,,2,3,2,,,1,,,,2,,74,12,84,16,,38,14,19,4,1,,245,,2,37,16,1,85,6,98,25,,9,178,125,53,,,,,,,,,,10
OKLAHOMA,Cities,Eufaula,2845,75,5,38,32,,,,,,1,1,,,,,,,,,34,1,22,2,,7,,4,2,,1,54,1,1,6,7,,5,2,32,6,1,1,29,22,7,,,,,,1,,,,4
OKLAHOMA,Cities,Fairfax,1387,24,3,20,1,,,,,,,,,,,,,,,,5,,11,,,2,2,,,,,10,,1,,4,,2,,3,1,,1,1,1,,,,,,,,,,,1
OKLAHOMA,Cities,Fairview,2639,56,5,23,28,,,,,,1,1,,,,,,,,,33,2,32,4,,6,2,3,,,1,87,,,4,2,,13,3,65,2,,,17,9,8,,,,,,,,,,1
OKLAHOMA,Cities,Fletcher,1203,1,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,,,,,,1,1,2,1,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Forest Park,1023,9,1,6,2,,,,,1,1,1,,,,,,,,,6,4,7,1,,,,,,,,8,,,,3,,1,,4,,,3,20,15,5,,,,,,,,,,2
OKLAHOMA,Cities,Fort Gibson,4181,61,3,43,15,,,,,2,3,,,1,2,,,,,,31,1,17,,,5,,3,1,,1,58,,,3,,,20,,35,2,,,135,79,56,,,,,,,,,,4
OKLAHOMA,Cities,Frederick,3998,56,16,35,5,,,,,,3,1,1,1,,,,,1,,24,6,30,,,15,4,8,1,1,1,53,,,8,9,,16,4,16,3,1,1,19,15,4,,,,,,1,,,,2
OKLAHOMA,Cities,Geary,1288,21,,15,6,,,,,,,,,,,,,,,,16,1,21,3,,2,1,,,,1,13,,,1,,,3,,9,5,,,1,1,,,,,,,,,,,
OKLAHOMA,Cities,Goodwell,1330,3,1,1,1,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,25,,,,5,,14,,6,,,,5,3,2,,,,,,,,,,1
OKLAHOMA,Cities,Guthrie,10409,116,11,91,14,,,,,3,5,3,,1,1,1,,1,,,60,2,66,14,,18,5,5,4,1,3,241,,1,50,37,2,82,6,63,17,2,7,90,61,29,,,,,,1,,,,15
OKLAHOMA,Cities,Haileyville,815,1,,1,,,,,,,2,,,,2,,,,,,4,,1,,,,,,,,,7,,,,1,,,,6,,,,2,1,1,,,,,,,,,,1
OKLAHOMA,Cities,Harrah,5225,73,13,42,18,,,,,3,5,,1,,4,,,,,,25,1,46,1,,12,5,5,2,,,60,1,,4,12,1,5,3,34,10,1,,41,20,21,,,,,,1,,,,5
OKLAHOMA,Cities,Hartshorne,2128,32,1,29,2,,,,,1,1,1,,,,,,,1,,29,1,13,,,,,,,,,21,,,2,4,,6,,9,1,1,,,,,,,,,,,,,,
OKLAHOMA,Cities,Haskell,2020,3,1,2,,,,,,,3,,,2,1,,,,,,,,1,,,,,,,,,2,,,2,,,,,,,,,1,,1,,,,,,,,,,
OKLAHOMA,Cities,Healdton,2836,13,2,8,3,,,,,,,,,,,,,,1,,4,,3,,,4,,3,1,,,17,,,3,5,,2,1,6,5,,1,5,5,,,,,,,,,,,2
OKLAHOMA,Cities,Heavener,3453,37,9,18,10,,,,,1,2,1,,,1,,,,,,34,3,18,,,4,1,2,1,,,41,,,1,2,,12,5,21,7,,2,7,4,3,,,,,,,,,,2
OKLAHOMA,Cities,Hennessey,2169,41,4,18,19,,,,,2,1,,,,1,,,,1,,4,,16,2,,5,3,2,,,,17,,,2,2,,,,13,2,,,4,4,,,,,,,,,,,1
OKLAHOMA,Cities,Henryetta,5943,60,7,42,11,,,,,,1,,,,1,1,,1,,,65,6,50,2,,8,3,3,,1,1,126,2,1,27,8,4,29,4,51,9,1,2,57,35,22,,,,,,,,,,2
OKLAHOMA,Cities,Hinton,3213,5,,4,1,,,,,,,,,,,,,,,,2,,4,1,,,,,,,,6,,,,2,,2,,2,3,,,25,21,4,,,,,,,,,,
OKLAHOMA,Cities,Hobart,3768,102,9,61,32,,,,,,5,1,1,,3,1,,1,1,,61,17,62,4,,7,4,2,1,,,87,2,1,9,22,,28,1,24,8,4,5,18,11,7,,,,,,,,,,1
OKLAHOMA,Cities,Holdenville,5749,48,5,40,3,,,,,,1,,,,1,,,,,,18,7,20,3,,4,2,1,1,,,39,,,4,5,,3,,27,12,2,4,32,26,6,,,,,,,,,,6
OKLAHOMA,Cities,Hollis,2071,37,6,20,11,,,,,,1,,,,1,,,,,,29,,21,1,,3,,2,1,,,36,,,,2,,7,1,26,2,2,,12,9,3,,,,,,,,,,3
OKLAHOMA,Cities,Hominy,3585,41,3,30,8,,,,,1,5,1,,,4,1,,1,,,22,,27,2,,7,7,,,,,31,,,,8,,6,6,11,4,,1,56,29,27,,,,,,,,,,3
OKLAHOMA,Cities,Hooker,1994,1,1,,,,,,,,1,,1,,,,,,,,3,,3,1,,,,,,,,12,,,,,,7,1,4,1,,,,,,,,,,,,,,,1
OKLAHOMA,Cities,Howe,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,
OKLAHOMA,Cities,Hugo,5359,47,15,24,8,,,,,1,6,4,,2,,,,,2,,31,1,17,2,,6,2,2,2,,,48,1,,1,3,,15,1,27,3,3,2,44,33,11,,,,,,,,,,2
OKLAHOMA,Cities,Hulbert,605,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,1,3,3,,,,,,,,,,,
OKLAHOMA,Cities,Hydro,972,5,2,3,,,,,,,,,,,,,,,,,3,,2,,,1,,,,,1,13,,,1,5,,4,,3,,,1,,,,,,,,,,,,,
OKLAHOMA,Cities,Jones,2761,21,5,16,,,,,,,2,,,,2,,,,1,,8,2,11,,,3,,2,1,,,23,,,1,7,,5,4,6,4,1,3,5,4,1,,,,,,,,,,2
OKLAHOMA,Cities,Kiefer,1710,20,4,13,3,,,,,3,1,,,,1,,,,,,6,1,4,,,4,1,3,,,,3,,,,2,,1,,,2,,,10,5,5,,,,,,,,,,2
OKLAHOMA,Cities,Kingfisher,4716,21,1,18,2,,,,,,2,1,,,1,,,,,,9,8,27,3,,6,5,,,,1,72,,,10,17,,16,3,26,3,,1,13,11,2,,,,,,,,,,1
OKLAHOMA,Cities,Kingston,1631,4,,3,1,,,,,,,,,,,,,,,,2,3,2,2,,3,,2,1,,,9,,,1,2,,,,6,,,,21,13,8,,,,,,,,,,2
OKLAHOMA,Cities,Krebs,2057,50,6,35,9,,,,,1,2,2,,,,,,,,,25,2,22,,,8,5,2,1,,,60,,,2,17,1,10,1,29,5,1,,25,18,7,,,,,,,,,,1
OKLAHOMA,Cities,Lahoma,617,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA,Cities,Lexington,2211,18,3,10,5,1,1,,,,1,,,,1,,,,,,7,1,9,2,,,,,,,,56,,,2,12,,10,3,29,6,,,31,24,7,,,,,,1,,,,6
OKLAHOMA,Cities,Lindsay,2844,50,9,38,3,,,,,3,1,,,,1,,,,,,25,4,18,1,,11,6,1,3,,1,26,,,3,1,1,4,2,15,2,,3,31,23,8,,,,,,,,,,3
OKLAHOMA,Cities,Locust Grove,1436,9,2,7,,,,,,,1,,,1,,,,,,,7,,7,,,2,2,,,,,13,,,2,1,,2,,8,3,,1,10,5,5,,,,,,,,,,
OKLAHOMA,Cities,Lone Grove,5142,94,9,41,44,,,,,,5,1,1,,3,,,,3,,28,3,42,1,,7,3,4,,,,67,,,3,6,,18,3,37,7,1,6,44,28,16,,,,,,1,,,,4
OKLAHOMA,Cities,Luther,1252,15,1,6,8,,,,,,1,,,,1,,,,,,5,,4,,,2,1,,1,,,2,,,,,,,,2,3,,1,11,8,3,,,,,,,,,,4
OKLAHOMA,Cities,Madill,3841,13,,9,4,,,,,,,,,,,,,,,,4,5,10,2,,3,1,1,1,,,31,,,19,1,,4,,7,2,,1,15,14,1,,,,,,,,,,2
OKLAHOMA,Cities,Mangum,2963,37,1,26,10,,,,,,3,,1,,2,1,,1,,,9,2,11,,,,,,,,,24,,,4,5,,10,,5,2,,1,7,5,2,,,,,,1,,,,1
OKLAHOMA,Cities,Marietta,2632,39,7,28,4,,,,,,1,1,,,,,,,,,13,5,8,2,,2,,1,1,,,41,,,2,6,1,6,3,23,2,1,1,17,12,5,,,,,,,,,,3
OKLAHOMA,Cities,Marlow,4707,104,13,78,13,,,,,,8,2,,1,5,,,,,,50,3,45,2,,20,8,4,4,,4,112,,,13,20,1,17,4,57,6,,5,30,19,11,,,,,,,,,,2
OKLAHOMA,Cities,Maysville,1234,6,,5,1,,,,,1,2,,,,2,,,,2,,4,,4,,,,,,,,,8,,,,3,,2,,3,6,1,,5,4,1,,,,,,,,,,
OKLAHOMA,Cities,McAlester,18419,364,33,268,63,,,,,2,28,12,,2,14,4,,4,3,,254,20,187,25,2,74,43,23,8,,,653,2,3,137,66,1,129,24,291,46,12,17,211,134,77,,,,,,4,,,,14
OKLAHOMA,Cities,McCurtain,520,1,,,1,,,,,,1,,,,1,,,,,,3,2,2,,,3,2,1,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,
